source,source_type,relation,target,target_type,evidence,source_file
风,环境因子,导致,沉积物再悬浮,水体过程,Wind-induced disturbances to sediment resuspension,clean_a (4).txt
风场,环境因子,影响,水动力强度,环境因子,The hydrodynamic intensity that leads to sediment suspension is highly dependent on the wind,clean_a (4).txt
风,环境因子,影响,太湖,水体对象,Lake Taihu Hydrodynamics Wind field,clean_a (4).txt
浅水湖泊,水体对象,影响,营养盐释放,水质因子,The release of nutrients from bottom of the shallow lake is important to control to achieve ecological restoration,clean_a (4).txt
沉积物再悬浮,水质因子,导致,营养盐释放,水质因子,Nutrients release is the result of sediment resuspension in large shallow lakes,clean_a (4).txt
剪切应力,环境因子,相关,再悬浮沉积物浓度和粒径,水质因子,Lick (1994) showed that the concentration and diameter of the resuspended sediment are related to the shear stress near the sediment-water interface,clean_a (4).txt
风,环境因子,影响,水动力扰动,环境因子,bay areas are significantly sensitive to wind induced hydrodynamic disturbances,clean_a (4).txt
水深,环境因子,影响,风致水动力扰动,环境因子,due to shallow water interactions between the wind and bottom processes,clean_a (4).txt
波浪-底边界层过程,环境因子,主导,水动力扰动,环境因子,dominated by wave-bottom boundary-layer processes,clean_a (4).txt
Lake Taihu,水体对象,影响,水温,环境因子,Annual lake water temperature ranges from 4.8 to 29.2 °C with an average of 17.3 °C,clean_a (4).txt
Lake Taihu,水体对象,影响,水深,环境因子,having water surface area of 2338 km2 and an average depth of 1.9 m,clean_a (4).txt
Meiliang Bay,水体对象,影响,水深,环境因子,with an average depth of 1.9 m,clean_a (4).txt
Meiliang Bay,水体对象,影响,风速,环境因子,Average wind speed is 4.3 m/s in summer and 0.9 m/s in winter with an annual variation of 0 to 10 m/s,clean_a (4).txt
Tuoshan Bay,水体对象,影响,水深,环境因子,The mean depth during the field experiment was 2.7 m with the maximum of 2.88 m and a minimum of 2.62 m,clean_a (4).txt
Meiliang Bay,水体对象,影响,总氮,水质因子,The average total nitrogen [...] has been found 1.73 g/kg in Meiliang Bay during the field experiment,clean_a (4).txt
Meiliang Bay,水体对象,影响,总磷,水质因子,The average total phosphorus [...] has been found 0.32 g/kg in Meiliang Bay during the field experiment,clean_a (4).txt
Meiliang Bay,水体对象,影响,有机质含量,水质因子,The average organic content [...] has been found 0.94% in Meiliang Bay during the field experiment,clean_a (4).txt
Meiliang Bay,水体对象,影响,含水率,水质因子,The average water content has been found 48.93% in Meiliang Bay during the field experiment,clean_a (4).txt
Meiliang Bay,水体对象,影响,沉积物粒径,水质因子,The particle size of sediment at Meiliang Bay is 12 μm,clean_a (4).txt
Meiliang Bay,水体对象,影响,沉积物容重,水质因子,The particle size of sediment at Meiliang Bay is 12 μm with a bulk density of 1.45 g/cm3,clean_a (4).txt
风,环境因子,影响,悬浮物浓度,水质因子,"high-frequency wind, waves, currents, and SSC concentrations were measured",clean_a (4).txt
波浪,环境因子,影响,悬浮物浓度,水质因子,"high-frequency wind, waves, currents, and SSC concentrations were measured",clean_a (4).txt
流速,环境因子,影响,悬浮物浓度,水质因子,"high-frequency wind, waves, currents, and SSC concentrations were measured",clean_a (4).txt
悬浮物浓度,水质因子,影响,浊度,清澈度指标,The OBS 3A had been used to measure turbidity... The OBS data of turbidity was calibrated with the manually measured SSC (mg/L),clean_a (4).txt
浊度,清澈度指标,监测,悬浮物浓度,水质因子,The OBS data of turbidity was calibrated with the manually measured SSC (mg/L) at the same depth and time,clean_a (4).txt
光学后向散射传感器,监测方法,监测,浊度,清澈度指标,an optical backscatter sensor (OBS) turbidity meter,clean_a (4).txt
现场监测,监测方法,监测,悬浮物浓度,水质因子,Water samples were collected from 5 cm above the lake bed and were analyzed in the laboratory for SSC calibration purposes. TSS concentrations were measured by the membrane filtration method in laboratory analysis.,clean_a (4).txt
风速,环境因子,影响,近底区剪切应力,环境因子,wind field induced wave and current action on sediment resuspension,clean_a (4).txt
近底区剪切应力,环境因子,导致,悬浮物再悬浮,水质因子,"The bottom shear stress generated by combined wave and current action is the major dynamic force which is mainly responsible for nutrients resuspension in the large, shallow Lake Taihu",clean_a (4).txt
太湖,水体对象,相关,近底区剪切应力,环境因子,"bottom shear stress ... is mainly responsible for nutrients resuspension in the large, shallow Lake Taihu",clean_a (4).txt
太湖,水体对象,相关,悬浮物再悬浮,水质因子,"bottom shear stress ... is mainly responsible for nutrients resuspension in the large, shallow Lake Taihu",clean_a (4).txt
波浪与水流共同作用,环境因子,导致,近底区剪切应力,环境因子,The bottom shear stress generated by combined wave and current action,clean_a (4).txt
悬浮物浓度,水质因子,监测,OBS-3A,监测方法,Concentration of suspended sediment (SS) OBS-3A,clean_a (4).txt
总悬浮物浓度,水质因子,监测,人工采样,监测方法,Water Samples for Total suspended sediment (TSS) concentrations Manual sampling,clean_a (4).txt
风速/风向,环境因子,监测,TLLER气象站,监测方法,Wind speed /direction TLLER weather station,clean_a (4).txt
风速,环境因子,监测,PH-II手持式气象站,监测方法,Wind speed PH-II Handheld weather station,clean_a (4).txt
波高,环境因子,监测,RBRduo T.D | wave,监测方法,"Wave (wave height, H; wave period, T) RBRduo T.D | wave",clean_a (4).txt
风速,环境因子,相关,风向,环境因子,总体上，最盛行的风速区间3.1–6.0 m/s与所有主导风向强相关,clean_a (4).txt
风速,环境因子,影响,水体混合或再悬浮,水质过程,大多数风速为3.1至9.0 m/s的强风出现在向岸风方向,clean_a (4).txt
风向,环境因子,影响,水体混合或再悬浮,水质过程,主导的向岸风（SE和ESE）具有较强风速，出现在湾口岸线附近,clean_a (4).txt
风速,环境因子,影响,波高,环境因子,onshore winds were strongly connected with the wave height and wave period which ultimately increased the total shear stress,clean_a (4).txt
风向,环境因子,影响,波高,环境因子,onshore winds (96–180°) generated significant wave height and wave period as compared to offshore winds (248–304°) which generated low wave height and wave periods,clean_a (4).txt
风向,环境因子,影响,波周期,环境因子,onshore winds were strongly connected with the wave height and wave period which ultimately increased the total shear stress,clean_a (4).txt
波高,环境因子,影响,底床剪切应力,环境因子,This factor of wave height and wave period differences led to the generation of increased shear stress by onshore winds and decreased shear stress by offshore winds at the bottom of the Lake Taihu,clean_a (4).txt
波周期,环境因子,影响,底床剪切应力,环境因子,This factor of wave height and wave period differences led to the generation of increased shear stress by onshore winds and decreased shear stress by offshore winds at the bottom of the Lake Taihu,clean_a (4).txt
太湖,水体对象,影响,底床剪切应力,环境因子,led to the generation of increased shear stress by onshore winds and decreased shear stress by offshore winds at the bottom of the Lake Taihu,clean_a (4).txt
风速,环境因子,影响,浊度,清澈度指标,"The turbidity has been found to be highly sensitive to wind speed, especially when the wind speed was greater than 4 m/s",clean_a (4).txt
风速,环境因子,导致,底泥再悬浮,水质过程,The higher turbidity during greater wind speeds was due to the vertical energy transfer to the lake bed through large changes in hydrodynamic mixing processes causing resuspension of sediment,clean_a (4).txt
底泥再悬浮,水质过程,增加,浊度,清澈度指标,"At the higher wind speeds (6 – 10.8 m/s), bottom sediment resuspension contributed substantially to increased turbid conditions at the bottom (up to 270 NTU) and surface (up to 148 NTU)",clean_a (4).txt
风速,环境因子,相关,表面浊度,清澈度指标,There was a weak positive correlation between wind speed and surface turbidity (R² 0.3899),clean_a (4).txt
风速,环境因子,相关,底层浊度,清澈度指标,There was a weak positive correlation between wind speed and bottom turbidity (R² 0.3521),clean_a (4).txt
